Loading Type,Constraint,Number of Layer,E1/E2,a/h,Configuration,Deflection 
UDL,SSSS,20,40,100,HS3,0.380264232
UDL,SSSS,20,40,100,LH1,0.40464566
UDL,SSSS,20,40,100,LH2,0.403463128
UDL,SSSS,20,40,100,LH3,0.402689704
UDL,SSSS,20,40,100,FH,0.399737652
UDL,SSSS,20,40,100,QI,0.349113144
SSL,CCCC,12,10,10,HR1,0.421526352
SSL,CCCC,12,10,10,HR2,0.436473568
SSL,CCCC,12,10,10,HR3,0.456294636
SSL,CCCC,12,10,10,HE1,0.41745856
SSL,CCCC,12,10,10,HE2,0.41745856
SSL,CCCC,12,10,10,HE3,0.426386708
SSL,CCCC,12,10,10,HS1,0.46148658
SSL,CCCC,12,10,10,HS2,0.44719176
SSL,CCCC,12,10,10,HS3,0.41508592
SSL,CCCC,12,10,10,LH1,0.426572584
SSL,CCCC,12,10,10,LH2,0.432115524
SSL,CCCC,12,10,10,LH3,0.438491556
SSL,CCCC,12,10,10,FH,0.458755208
SSL,CCCC,12,10,10,QI,0.458755208
SSL,CCCC,12,10,100,HR1,0.458755208
SSL,CCCC,12,10,100,HR2,0.240476144
SSL,CCCC,12,10,100,HR3,0.2419401
SSL,CCCC,12,10,100,HE1,0.240259916
SSL,CCCC,12,10,100,HE2,0.24208802
SSL,CCCC,12,10,100,HE3,0.245497172
SSL,CCCC,12,10,100,HS1,0.259682164
SSL,CCCC,12,10,100,HS2,0.255292876
SSL,CCCC,12,10,100,HS3,0.25348124
SSL,CCCC,12,10,100,LH1,0.240747944
SSL,CCCC,12,10,100,LH2,0.241610036
SSL,CCCC,12,10,100,LH3,0.242617252
SSL,CCCC,12,10,100,FH,0.24413318
SSL,CCCC,12,10,100,QI,0.24604232
SSL,CCCC,12,40,10,HR1,0.256749928
SSL,CCCC,12,40,10,HR2,0.274162136
SSL,CCCC,12,40,10,HR3,0.295468832
SSL,CCCC,12,40,10,HE1,0.250840612
SSL,CCCC,12,40,10,HE2,0.252512348
SSL,CCCC,12,40,10,HE3,0.255571728
SSL,CCCC,12,40,10,HS1,0.285809176
SSL,CCCC,12,40,10,HS2,0.262313812
SSL,CCCC,12,40,10,HS3,0.2240537
SSL,CCCC,12,40,10,LH1,0.26266114
SSL,CCCC,12,40,10,LH2,0.268966368
SSL,CCCC,12,40,10,LH3,0.27596282
SSL,CCCC,12,40,10,FH,0.296290648
SSL,CCCC,12,40,10,QI,0.224323048
SSL,CCCC,12,40,100,HR1,0.067626796
SSL,CCCC,12,40,100,HR2,0.068225928
SSL,CCCC,12,40,100,HR3,0.069135772
SSL,CCCC,12,40,100,HE1,0.067919464
SSL,CCCC,12,40,100,HE2,0.068767
SSL,CCCC,12,40,100,HE3,0.07043856
SSL,CCCC,12,40,100,HS1,0.077471108
SSL,CCCC,12,40,100,HS2,0.075815092
SSL,CCCC,12,40,100,HS3,0.074759732
SSL,CCCC,12,40,100,LH1,0.068229024
SSL,CCCC,12,40,100,LH2,0.06866866
SSL,CCCC,12,40,100,LH3,0.06866866
SSL,CCCC,12,40,100,FH,0.070120484
SSL,CCCC,12,40,100,QI,0.071335424
SSL,CCCC,16,10,10,HR1,0.432915412
SSL,CCCC,16,10,10,HR2,0.468199844
SSL,CCCC,16,10,10,HR3,0.492638372
SSL,CCCC,16,10,10,HE1,0.419804012
SSL,CCCC,16,10,10,HE2,0.430013524
SSL,CCCC,16,10,10,HE3,0.432886344
SSL,CCCC,16,10,10,HS1,0.463422528
SSL,CCCC,16,10,10,HS2,0.44986766
SSL,CCCC,16,10,10,HS3,0.418999176
SSL,CCCC,16,10,10,LH1,0.435130164
SSL,CCCC,16,10,10,LH2,0.444506112
SSL,CCCC,16,10,10,LH3,0.454677108
SSL,CCCC,16,10,10,FH,0.472856412
SSL,CCCC,16,10,10,QI,0.409571684
SSL,CCCC,16,10,100,HR1,0.240237568
SSL,CCCC,16,10,100,HR2,0.242992444
SSL,CCCC,16,10,100,HR3,0.246076756
SSL,CCCC,16,10,100,HE1,0.24156412
SSL,CCCC,16,10,100,HE2,0.246860112
